framework,model,dataset,quantization,accuracy,std_err
mlc,Llama-2-7b,arc_easy,q0f16,0.7622,0.0087
mlc,Llama-2-7b,arc_challenge,q0f16,0.4241,0.0144
mlc,Llama-2-7b,winogrande,q0f16,0.6993,0.0129
mlc,Llama-2-7b,arc_easy,q0f32,0.7412,0.009
pytorch,Llama-2-7b,arc_easy,AWQ,0.7517,0.0089
pytorch,Llama-2-7b,arc_easy,GPTQ,0.7492,0.0089
pytorch,Llama-2-7b,arc_challenge,AWQ,0.4317,0.0145
pytorch,Llama-2-7b,arc_challenge,GPTQ,0.4206,0.0144
pytorch,Llama-2-7b,arc,AWQ,0.5917,None
pytorch,Llama-2-7b,arc,GPTQ,0.5849,None
pytorch,Llama-2-7b,winogrande,AWQ,0.6969,0.0129
pytorch,Llama-2-7b,winogrande,GPTQ,0.6835,0.0131
pytorch,Llama-2-7b,truthfulqa,AWQ,0.3269,None
pytorch,Llama-2-7b,truthfulqa,GPTQ,0.3187,None
pytorch,Llama-2-7b,truthfulqa_mc_1,AWQ,0.2607,0.0154
pytorch,Llama-2-7b,truthfulqa_mc_1,GPTQ,0.2460,0.0151
pytorch,Llama-2-7b,truthfulqa_mc_2,AWQ,0.3932,0.0135
pytorch,Llama-2-7b,truthfulqa_mc_2,GPTQ,0.3914,0.0137
pytorch,Llama-2-7b,hellaswag,AWQ,0.5648,0.0049
pytorch,Llama-2-7b,hellaswag,GPTQ,0.5603,0.0050
pytorch,Mistral-7b-v0.1,arc_easy,AWQ,0.8022,0.0082
pytorch,Mistral-7b-v0.1,arc_easy,GPTQ,0.7908,0.0083
pytorch,Mistral-7b-v0.1,arc_challenge,AWQ,0.4923,0.0146
pytorch,Mistral-7b-v0.1,arc_challenge,GPTQ,0.5026,0.0146
pytorch,Mistral-7b-v0.1,arc,AWQ,0.6472,None
pytorch,Mistral-7b-v0.1,arc,GPTQ,0.6467,None
pytorch,Mistral-7b-v0.1,winogrande,AWQ,0.7451,0.0122
pytorch,Mistral-7b-v0.1,winogrande,GPTQ,0.7127,0.0127
pytorch,Mistral-7b-v0.1,truthfulqa,AWQ,0.3408,None
pytorch,Mistral-7b-v0.1,truthfulqa,GPTQ,0.3452,None
pytorch,Mistral-7b-v0.1,truthfulqa_mc_1,AWQ,0.2693,0.0155
pytorch,Mistral-7b-v0.1,truthfulqa_mc_1,GPTQ,0.2729,0.0156
pytorch,Mistral-7b-v0.1,truthfulqa_mc_2,AWQ,0.4123,0.0141
pytorch,Mistral-7b-v0.1,truthfulqa_mc_2,GPTQ,0.4175,0.0141
pytorch,Mistral-7b-v0.1,hellaswag,AWQ,0.6065,0.0049
pytorch,Mistral-7b-v0.1,hellaswag,GPTQ,0.5852,0.0049
pytorch,Zephyr-3b,arc_easy,GPTQ,0.6747,0.0096
pytorch,Zephyr-3b,arc_challenge,GPTQ,0.3959,0.0143
pytorch,Zephyr-3b,arc,GPTQ,0.5353,None
pytorch,Zephyr-3b,winogrande,GPTQ,0.6275,0.0136
pytorch,Zephyr-3b,truthfulqa,GPTQ,0.4002,None
pytorch,Zephyr-3b,truthfulqa_mc_1,GPTQ,0.3280,0.0164
pytorch,Zephyr-3b,truthfulqa_mc_2,GPTQ,0.4724,0.0163
pytorch,Llama-2-13b,arc_easy,None,0.7946,0.0083
pytorch,Llama-2-13b,arc_easy,q4_k,0.7891,0.0084
pytorch,Llama-2-13b,arc_easy,AWQ,0.7896,0.0084
pytorch,Llama-2-13b,arc_easy,GPTQ,0.7870,0.0084
pytorch,Llama-2-13b,arc_challenge,None,0.4753,0.0146
pytorch,Llama-2-13b,arc_challenge,q4_k,0.4761,0.0146
pytorch,Llama-2-13b,arc_challenge,AWQ,0.4701,0.0146
pytorch,Llama-2-13b,arc_challenge,GPTQ,0.4727,0.0146
pytorch,Llama-2-13b,arc,None,0.6349,None
pytorch,Llama-2-13b,arc,q4_k,0.6326,None
pytorch,Llama-2-13b,arc,AWQ,0.6298,None
pytorch,Llama-2-13b,arc,GPTQ,0.6298,None
pytorch,Llama-2-13b,winogrande,None,0.7222,0.0126
pytorch,Llama-2-13b,winogrande,q4_k,0.7222,0.0126
pytorch,Llama-2-13b,winogrande,AWQ,0.7293,0.0125
pytorch,Llama-2-13b,winogrande,GPTQ,0.7214,0.0126
pytorch,Llama-2-13b,truthfulqa,None,0.3143,None
pytorch,Llama-2-13b,truthfulqa,q4_k,0.3056,None
pytorch,Llama-2-13b,truthfulqa,AWQ,0.3048,None
pytorch,Llama-2-13b,truthfulqa,GPTQ,0.3064,None
pytorch,Llama-2-13b,truthfulqa_mc_1,None,0.2595,0.0153
pytorch,Llama-2-13b,truthfulqa_mc_2,None,0.3690,0.0136
pytorch,Llama-2-13b,truthfulqa_mc_1,q4_k,0.2485,0.0151
pytorch,Llama-2-13b,truthfulqa_mc_2,q4_k,0.3627,0.0135
pytorch,Llama-2-13b,truthfulqa_mc_1,AWQ,0.2521,0.0152
pytorch,Llama-2-13b,truthfulqa_mc_2,AWQ,0.3575,0.0135
pytorch,Llama-2-13b,truthfulqa_mc_1,GPTQ,0.2521,0.0152
pytorch,Llama-2-13b,truthfulqa_mc_2,GPTQ,0.3607,0.0136
pytorch,Llama-2-13b,hellaswag,None,0.6006,0.0049
pytorch,Llama-2-13b,hellaswag,q4_k,0.6011,0.0049
pytorch,Llama-2-13b,hellaswag,AWQ,0.5981,0.0049
pytorch,Llama-2-13b,hellaswag,GPTQ,0.5952,0.0049
